시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
화성시,수영오거리.신창아파트입구,"Suyeong Ogeori, Sinchang Apartment ",233001866,37907.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.23745,126.9608333
화성시,수영초등학교,Suyeong Elementary School ,233001868,37909.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2365333,126.9549167
화성시,수영초등학교,Suyeong Elementary School ,233001869,37910.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2364,126.9544333
화성시,수원과학대학,Suwon Science College,233000913,36212.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1932167,126.9798
화성시,수원과학대학,Suwon Science College,233000912,36213.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.1932,126.9796833
화성시,수원대입구,The University of Suwon,233003021,,노변정류장,경기도 화성시,,37.21435,126.9781167
화성시,수원대입구,The University of Suwon,233003020,,노변정류장,경기도 화성시,,37.21445,126.9781167
화성시,수원대학교,The University of Suwon,233001214,36216.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.21375,126.98015
화성시,수원대학교,The University of Suwon,233001213,36215.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.21375,126.9799667
화성시,수원대학교,The University of Suwon,233000576,36204.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2141667,126.97915
화성시,수원대학교,The University of Suwon,233000575,36210.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2138333,126.9797667
화성시,수원대학교(경유),,277102448,,,,,37.2145,126.9781333
화성시,수원대학교(경유),,277102590,,,,,37.2115667,126.9838
화성시,수원신학교,Suwon Theological Seminary ,233000567,36752.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2030333,126.9642833
화성시,수원신학교,Suwon Theological Seminary ,233000572,36751.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2030333,126.9644167
화성시,수원여대혜란캠퍼스,Suwon Women's University Heran Campus ,233001311,36076.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2026167,126.9327333
화성시,수원여대혜란캠퍼스,Suwon Women's University Heran Campus ,233001312,36075.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2026167,126.9330667
