ars,emd_cd,sttn_nm
36667,4159710200,메타폴리스(중)
36668,4159710200,한빛마을(중)
36669,4159711300,한국지역난방공사
36670,4159710200,동탄차고지
36671,4159710200,동탄차고지
36672,4159710300,예당마을.롯데캐슬(중)
36674,4159332026,쌍학1리
36675,4159710200,쌍용예가
36676,4159710200,동탄국제고등학교
36677,4159710200,동탄국제고등학교
36678,4159710200,나루마을.월드반도
36679,4159510200,새봄초등학교
36680,4159710200,솔빛마을.화성동탄중앙도서관
36681,4159711300,동탄2수질복원센터
36682,4159310200,기안성당
36683,4159710300,IT단지(중)
36684,4159310200,기안성당
36685,4159310200,신일해피트리후문
36686,4159510300,모아미래도.우림필유.평생학습관(중)
36687,4159510300,모아미래도.우림필유.평생학습관(중)
36688,4159510300,서동탄역.신일해피트리(중)
36689,4159510300,서동탄역.신일해피트리(중)
36690,4159310200,신일해피트리후문
36691,4159125621,신백중학교앞
36693,4159710900,베라체아파트
36694,4159711300,방교동일반산업단지
36696,4159333021,정남초등학교
36697,4159125326,하길중학교
36699,4159125027,화수사거리
36700,4159125032,조암조원마을
36701,4159125031,화산삼거리
36702,4159325028,상기리입구
36703,4159333027,문학리
36704,4159711300,방아다리마을
36706,4159135023,성문
36709,4159135025,장명초등학교
36710,4159510400,신미주아파트앞
36711,4159125333,갈천초등학교
36713,4159135025,장안6리.물구리
36714,4159135025,장안3리
36716,4159135030,노진3리
36717,4159135030,노진3리
36718,4159125026,관음사입구
36719,4159125628,유일병원
36721,4159710300,개나리공원
36722,4159135025,장안3리
36723,4159125021,복지회관
36724,4159125026,복지회관
36725,4159510500,에스케이뷰후문상가앞
36726,4159510500,반월중.고등학교앞
36727,4159135024,독정5리마을회관
36728,4159325024,동화초.동화휴먼시아3단지
36729,4159325028,상기리입구
36731,4159125325,구문천리초록마을
36732,4159125325,구문천리초록마을
36733,4159125325,구문천삼거리
36734,4159125325,구문천삼거리
36735,4159134034,고주리
36736,4159134034,고주리
36737,4159711500,포스코2차.신미주아파트
36738,4159125621,남양아이파크
36739,4159333027,문학1리
36740,4159125329,향남교회
36741,4159125329,향남교회
36742,4159125621,남양뉴타운4단지
36743,4159132024,용포1리.당뫼
36744,4159132024,용포1리.당뫼
36745,4159325022,내리교
36746,4159132024,용포2리.영계
36747,4159125329,향남초등학교
36748,4159125329,백토리사거리
36749,4159125329,한미공조앞
36751,4159325027,수원신학교
36752,4159325027,수원신학교
36753,4159510100,병점사거리.병점역입구
36754,4159510500,신동탄푸르지오
36755,4159510400,신동탄푸르지오
36756,4159510200,병점구청.하나로마트
36757,4159125324,상신8리마을앞
36758,4159125325,구문천리
36759,4159125325,제약공단후문.구문천1리입구
36760,4159125324,한양수자인후문
36761,4159125324,상신1리마을앞
36762,4159125324,제약공단사원아파트앞
36763,4159133025,제부해수탕
36764,4159134024,가재1리입구.자연샘
36765,4159133030,궁평2리.해운초등학교
36766,4159133031,용두2리
36767,4159133022,한국발효.당성(상안리)
36769,4159135030,노진5
36771,4159135030,노진2리(노인정)
36774,4159135026,덕다3리
36777,4159136021,양감면행정복지센터
36778,4159136027,신왕리
36779,4159136022,오가리
36780,4159136024,요꼴낚시터
36781,4159136024,요꼴낚시터
36782,4159333027,문학2리
36783,4159325022,내리사거리
36784,4159125627,무송2통.술현
36785,4159710600,반도유보라후문
36786,4159125031,화산1리
36787,4159135029,금광아파트
36788,4159125032,우정초등학교
36790,4159333027,문학리
36791,4159136022,오가리
36792,4159710600,센트럴상록.대방디엠시티
36793,4159510400,참누리아파트.기산중학교
36794,4159510400,행림마을.삼성래미안
36795,4159510100,중심상가
36796,4159125030,양지편
36797,4159135029,장안여자중학교
36798,4159135025,장안6리
36799,4159125030,화성드림파크
36800,4159125329,향남초등학교
36801,4159125337,관리마을회관
36802,4159125337,관리마을회관
36803,4159134025,구장1리(새터말.율암리)
36804,4159125621,남양뉴타운.양우내안애
36805,4159125622,기산베스트빌
36808,4159711100,장지동농협
36809,4159711100,장지동
36810,4159711100,꽃가마약수터
36811,4159710500,반도1차.경남
36812,4159710500,계룡.영천초
