node_id,ars_no,name,lon,lat,in_hwaseong
GGB203000074,4141,영통역8번출구.수원지방법원등기국,127.071917,37.25235,0
GGB203000075,4157,청명역4번출구,127.07745,37.258283,0
GGB203000076,4161,청명역6번출구.영통포레파크원아파트,127.079583,37.26055,0
GGB203000077,4165,영통센트럴파크뷰.벽산아파트,127.0819,37.2653,0
GGB203000078,4166,황골마을,127.081867,37.2673,0
GGB203000079,4124,삼성전자입구,127.066683,37.268567,0
GGB203000083,4073,금성아파트.한국1차아파트,127.056717,37.268033,0
GGB203000091,4074,래미안영통마크원1단지.신동수변공원,127.041433,37.245083,0
GGB203000092,4035,자연앤자이아파트.중흥S클래스,127.055417,37.284567,0
GGB203000093,4078,영통아이파크캐슬2단지.롯데엘클래스,127.041667,37.244633,0
GGB203000097,4102,영흥수목원.영흥숲푸르지오파크비엔아파트,127.069833,37.261983,0
GGB203000103,4103,영흥수목원.영흥숲푸르지오파크비엔아파트,127.0702,37.261767,0
GGB203000106,4155,청명대우아파트,127.07575,37.260533,0
GGB203000108,4176,망포중학교.엘지동수원자이,127.0565,37.238767,0
GGB203000109,4089,망포1동행정복지센터.삼정라츠.늘푸른벽산,127.0594,37.237417,0
GGB203000111,4113,영흥수목원입구.영흥숲푸르지오파크비엔아파트입구,127.067633,37.259333,0
GGB203000116,4071,금성아파트.한국2차아파트,127.05625,37.26735,0
GGB203000119,4123,삼성전자입구,127.066567,37.268967,0
