key,stop_id,ars,name,lon,lat,grid_id,region,board_day,board_day_we,alight_day,board_imputed,n_routes,freq_imputed,freq_am,freq_day,freq_pm,freq_night
233540140,,,(임시)동탄아테라파밀리에,127.132967,37.183533,다사6709,동탄9동,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
233000768,41590-36021,36021,남양사거리,126.81905,37.209367,다사3912,남양읍,335.64,334.76,819.69,0,13,0,44.352,128.489,44.352,8.428
233000769,41590-36026,36026,(구)남양읍행정복지센터,126.823517,37.212,다사3912,남양읍,84.64,62.97,221.73,0,13,0,44.352,128.489,44.352,8.428
233000770,41590-36030,36030,루나포레아파트,126.831233,37.215633,다사4013,남양읍,55.61,39.0,149.79,0,10,0,24.638,62.601,24.638,2.167
233000771,41590-37776,37776,북양1리,126.8318,37.218983,다사4013,남양읍,55.51,26.32,89.33,0,13,0,36.638,87.744,36.638,2.381
233000772,41590-36042,36042,북양1리.염티고개,126.839033,37.222133,다사4113,남양읍,32.69,29.76,72.35,0,15,0,46.638,111.744,46.638,3.131
233000773,41590-37154,37154,양노리,126.859633,37.22875,다사4314,비봉면,1.99,1.24,20.32,0,13,0,36.638,87.744,36.638,2.381
233000774,41590-37161,37161,삼화리.천산아파트,126.862933,37.2361,다사4315,비봉면,39.95,22.79,30.25,0,13,0,34.28,73.458,34.28,2.825
233000775,41590-55858,55858,잿말,126.84885,37.253833,다사4217,비봉면,0.05,0.15,1.22,0,0,1,3.733,6.467,3.8,0.214
233000776,41590-37168,37168,천산아파트,126.865967,37.23655,다사4315,비봉면,39.52,19.21,64.98,0,14,0,35.138,76.281,35.138,2.825
233000777,41590-37170,37170,비봉초등학교후문.삼화3리,126.86815,37.236317,다사4315,비봉면,60.09,31.5,107.75,0,14,0,35.138,76.281,35.138,2.825
233000778,41590-37183,37183,비봉중고등학교,126.873217,37.236717,다사4415,비봉면,134.08,30.53,185.21,0,14,0,35.138,76.281,35.138,2.825
233000779,41590-37207,37207,구포리과수원,126.8821,37.24005,다사4515,비봉면,0.12,0.15,7.27,0,6,0,15.571,36.468,15.571,1.111
233000780,41590-37612,37612,구포3리,126.892067,37.24825,다사4616,비봉면,19.07,5.44,17.71,0,12,0,27.629,70.084,27.629,2.611
233000781,41590-37321,37321,천천리입구,126.94825,37.24385,다사5116,매송면,33.65,22.38,119.94,0,12,0,26.629,72.18,26.629,2.611
233000782,41590-37325,37325,삼미.쌍용아파트,126.953483,37.243433,다사5116,매송면,66.26,55.09,92.52,0,14,0,40.237,92.98,38.237,6.544
233000783,41590-36147,36147,수영오거리.봉담입구,126.962,37.23695,다사5115,봉담읍,19.25,24.03,413.71,0,13,0,83.926,242.052,84.006,21.168
233000784,41590-36134,36134,대진아이엠.LH3단지,126.953783,37.224967,다사5114,봉담읍,204.55,166.09,65.89,0,12,0,86.824,211.545,86.824,16.501
233000785,41590-36131,36131,동화리.동남아파트,126.9523,37.223167,다사5113,봉담읍,542.0,415.15,99.59,0,15,0,97.712,243.545,95.712,20.501
233000786,41590-36122,36122,봉담읍행정복지센터,126.94965,37.220333,다사5113,봉담읍,1139.02,805.79,912.02,0,28,0,139.393,337.911,137.473,26.218
233000787,41590-36118,36118,삼봉마을.신안인스빌,126.945917,37.217817,다사5013,봉담읍,500.0,337.82,352.19,0,16,0,101.491,243.374,101.491,18.515
233000788,41590-36113,36113,장안대학,126.944,37.21365,다사5012,봉담읍,359.44,57.68,136.14,0,17,0,89.385,213.519,87.465,15.829
233000789,41590-36110,36110,왕림휴게소,126.942817,37.203967,다사5011,봉담읍,40.98,43.79,11.21,0,7,0,33.224,94.212,33.224,7.056
233000790,41590-36102,36102,왕림리.상기리입구,126.939967,37.1972,다사5011,봉담읍,30.88,27.65,11.84,0,5,0,29.49,88.612,29.49,6.923
233000791,41590-36097,36097,가톨릭대학교,126.939417,37.193583,다사5010,봉담읍,160.18,118.44,29.02,0,7,0,47.49,115.279,47.49,8.034
233000792,41590-36092,36092,왕림4리.세곡리,126.9384,37.188967,다사5010,봉담읍,21.36,12.68,18.13,0,5,0,29.49,88.612,29.49,6.923
233000793,41590-36091,36091,당하리.흰돌산기도원입구,126.938383,37.18515,다사5009,봉담읍,113.54,80.06,18.54,0,7,0,47.49,115.279,47.49,8.034
233000794,41590-36081,36081,해병대사령부,126.936333,37.177683,다사4908,봉담읍,223.44,137.91,69.11,0,12,0,64.592,172.452,62.672,13.812
233000795,41590-36086,36086,화성푸드통합지원센터(로컬푸드직매장),126.936617,37.1726,다사4908,봉담읍,14.36,14.32,28.94,0,8,0,30.824,92.326,30.824,6.923
233000796,41590-36078,36078,덕리,126.93495,37.167883,다사4907,봉담읍,13.05,9.91,9.39,0,8,0,30.824,92.326,30.824,6.923
233000797,41590-36068,36068,진우아파트,126.930883,37.16185,다사4907,봉담읍,109.24,93.65,59.61,0,6,0,46.824,114.193,46.824,8.034
233000798,41590-37302,37302,가재3리.덕우공단입구,126.928117,37.156733,다사4906,팔탄면,29.2,26.35,53.16,0,4,0,28.824,87.526,28.824,6.923
233000799,41590-37294,37294,가재3리입구.가재4리,126.92525,37.15295,다사4806,봉담읍,11.16,5.0,26.64,0,3,0,28.824,87.526,28.824,6.923
233000800,41590-37285,37285,해병대보급중대,126.918117,37.1429,다사4805,팔탄면,28.51,21.29,23.53,0,3,0,28.824,87.526,28.824,6.923
233000801,41590-36762,36762,제약공단사원아파트앞,126.900517,37.111383,다사4601,향남읍,23.54,20.12,6.26,0,3,0,7.713,30.82,7.793,1.778
233000802,41590-36761,36761,상신1리마을앞,126.901167,37.107367,다사4601,향남읍,18.09,20.53,4.13,0,3,0,7.713,30.82,7.793,1.778
233000803,41590-37470,37470,상신6리,126.90155,37.103983,다사4600,향남읍,26.76,26.94,11.92,0,5,0,12.713,45.062,12.793,1.778
233000804,41590-36760,36760,한양수자인후문,126.90195,37.100817,다사4600,향남읍,44.38,47.06,7.6,0,5,0,12.713,45.062,12.793,1.778
233000805,41590-36759,36759,제약공단후문.구문천1리입구,126.91075,37.090183,다바4799,향남읍,71.24,34.18,6.51,0,6,0,13.713,53.678,13.793,2.278
233000806,41590-37469,37469,구문천리,126.9108,37.08815,다바4798,향남읍,91.05,148.85,16.34,0,6,0,13.713,53.678,13.793,2.278
233000807,41590-55859,55859,잿말,126.848667,37.253967,다사4217,비봉면,1.05,0.56,0.13,0,0,1,3.733,6.467,3.8,0.214
