grid_id,lon,lat,x_5179,y_5179,region_code,region,region_kind,pop,elderly,elderly_ratio,households,houses,workers,a0009,a1014,a1519,a2024,a2529,a3034,a3539,a4044,a4549,a5054,a5559,a6064,a6569,a70p
다사6605,127.12276,37.14762,966500.0,1905500.0,31240710,동탄8동,동,28.0,23.0,0.8214,13.0,8.0,551.0,0,0,0.0,5.0,0,0,0.0,0.0,5.0,5.0,0.0,5.0,8.0,15.0
다사6606,127.12272,37.15663,966500.0,1906500.0,31240710,동탄8동,동,1931.0,240.0,0.1243,681.0,640.0,569.0,223.0,116.0,97.0,69.0,91.0,110.0,140.0,225.0,168.0,160.0,148.0,158.0,91.0,149.0
다사6607,127.12267,37.16565,966500.0,1907500.0,31240691,동탄7동,동,10649.0,923.0,0.0867,5482.0,5389.0,1294.0,906.0,611.0,432.0,385.0,939.0,1435.0,1046.0,1189.0,913.0,731.0,602.0,531.0,427.0,496.0
다사6608,127.12263,37.17466,966500.0,1908500.0,31240691,동탄7동,동,8562.0,546.0,0.0638,3980.0,3897.0,4542.0,1029.0,410.0,287.0,288.0,961.0,1365.0,1035.0,925.0,601.0,431.0,362.0,316.0,247.0,299.0
다사6609,127.12259,37.18367,966500.0,1909500.0,31240720,동탄9동,동,18068.0,1065.0,0.0589,6444.0,6290.0,3111.0,2654.0,1578.0,856.0,558.0,736.0,1422.0,1925.0,2683.0,1778.0,1279.0,844.0,684.0,517.0,548.0
다사6610,127.12254,37.19269,966500.0,1910500.0,31240720,동탄9동,동,13095.0,757.0,0.0578,4432.0,4437.0,1041.0,1766.0,1300.0,778.0,383.0,504.0,954.0,1220.0,1751.0,1475.0,975.0,689.0,549.0,359.0,398.0
다사6611,127.1225,37.2017,966500.0,1911500.0,31240640,동탄4동,동,10119.0,848.0,0.0838,4118.0,3899.0,894.0,1234.0,833.0,536.0,320.0,412.0,954.0,1104.0,1297.0,1023.0,695.0,466.0,401.0,358.0,490.0
다사6612,127.12245,37.21072,966500.0,1912500.0,31240650,동탄5동,동,5512.0,589.0,0.1069,2452.0,2455.0,265.0,605.0,409.0,278.0,151.0,260.0,481.0,540.0,665.0,534.0,422.0,295.0,262.0,220.0,369.0
다사6707,127.13394,37.16568,967500.0,1907500.0,31240691,동탄7동,동,6021.0,441.0,0.0732,2115.0,2123.0,417.0,961.0,494.0,269.0,148.0,248.0,454.0,662.0,736.0,620.0,390.0,308.0,287.0,217.0,224.0
다사6708,127.13389,37.1747,967500.0,1908500.0,31240720,동탄9동,동,6700.0,189.0,0.0282,2249.0,2247.0,968.0,1409.0,381.0,264.0,151.0,314.0,880.0,1022.0,739.0,535.0,375.0,241.0,194.0,109.0,80.0
