시군구코드,시군구명,시간코드,외국인구분,남자0009수,남자1014수,남자1519수,남자2024수,남자2529수,남자3034수,남자3539수,남자4044수,남자4549수,남자5054수,남자5559수,남자6064수,남자6569수,여자0009수,여자1014수,여자1519수,여자2024수,여자2529수,여자3034수,여자3539수,여자4044수,여자4549수,여자5054수,여자5559수,여자6064수,여자6569수,연도_월_일
41590,화성시,9,내국인,7514.06,6425.91,6512.71,9786.1,11172.61,10371.88,13742.02,13844.67,14770.94,13765.48,12060.35,7858.32,3978.52,7123.37,5662.77,5275.94,6248.24,7699.22,8835.71,11625.5,9936.15,9369.61,8270.22,7642.01,5574.99,3226.53,20231226
41590,화성시,8,외국인,5.54,74.87,795.05,1790.12,1841.33,1752.93,1593.44,984.99,1111.24,952.61,623.81,255.33,64.14,13.9,22.55,319.23,492.59,778.05,875.14,651.54,548.96,561.26,433.33,291.18,122.21,45.23,20231208
41590,화성시,21,내국인,5709.69,7110.82,6286.31,8880.42,9899.32,9985.65,12044.8,10443.71,9345.87,7214.23,5716.55,3625.37,1809.36,5078.76,6336.99,5663.29,7338.83,8222.64,8573.93,10483.66,8550.8,7538.31,5889.61,4912.89,3380.74,1825.43,20231210
41590,화성시,14,외국인,18.39,84.08,902.75,2253.14,2228.49,2009.2,1357.95,847.24,783.31,709.7,502.77,196.2,50.67,17.2,48.12,307.78,527.29,792.61,717.09,607.27,487.47,508.67,421.96,292.6,166.97,66.02,20231216
41590,화성시,17,외국인,9.24,85.5,1265.73,2731.57,2895.78,2305.07,1359.71,686.07,687.2,476.14,329.35,195.32,61.42,13.6,45.35,400.43,623.67,828.22,842.25,609.74,482.21,466.7,348.39,234.43,169.12,53.54,20231209
41590,화성시,0,외국인,2.07,16.52,317.0,595.34,722.33,677.69,409.23,229.11,211.64,160.89,111.41,62.9,16.35,4.15,15.5,101.45,215.32,291.2,239.89,218.08,158.52,171.63,122.01,68.61,37.63,15.87,20231219
41590,화성시,19,외국인,0.0,63.62,1227.13,2799.51,2792.38,2175.69,1211.22,578.0,595.17,369.37,293.15,124.03,38.86,17.95,49.37,438.22,603.71,760.33,772.75,543.62,422.23,396.69,330.66,222.69,137.11,30.12,20231230
41590,화성시,19,내국인,8728.29,8068.62,7761.55,11585.96,12977.54,12092.29,15043.16,14102.43,13453.77,10287.56,8168.43,4868.9,2466.88,8294.91,7007.15,6311.02,8522.47,9628.38,9860.67,13191.9,11198.04,10069.31,7882.21,6523.89,4092.42,2201.73,20231214
41590,화성시,0,외국인,0.0,25.72,260.93,610.61,647.99,640.19,399.93,216.85,246.78,144.07,90.47,39.39,29.55,4.08,10.04,115.78,171.98,289.14,281.42,215.52,135.06,159.16,122.23,71.62,37.32,18.4,20231207
41590,화성시,6,외국인,2.07,45.94,441.8,1006.04,1110.48,1117.55,908.0,641.25,810.82,762.74,484.22,165.33,57.32,0.0,12.22,189.96,284.16,379.85,389.99,329.92,298.28,326.06,243.11,163.17,53.75,36.1,20231208
41590,화성시,5,외국인,1.7,46.97,672.82,1478.95,1462.66,1105.56,612.59,311.09,292.22,202.2,155.94,85.46,34.3,9.99,28.51,194.17,364.51,367.03,394.39,256.89,192.94,188.74,159.58,133.56,93.79,20.24,20231231
41590,화성시,10,외국인,5.91,52.16,813.44,1719.0,1988.96,1801.58,1423.5,1033.8,1059.36,1002.79,782.46,275.81,63.0,11.97,28.83,316.48,583.76,765.37,782.59,681.31,578.97,526.47,394.98,310.14,150.81,72.57,20231201
41590,화성시,3,외국인,3.93,30.16,495.95,1177.96,1193.21,872.85,476.09,275.1,175.81,183.16,144.52,68.95,35.6,4.15,30.5,183.88,282.04,319.71,282.92,240.01,185.37,180.85,142.14,101.55,42.1,21.67,20231225
41590,화성시,9,외국인,3.54,50.77,659.86,1581.2,1695.05,1308.33,890.11,513.48,545.64,430.42,291.66,156.96,53.94,10.23,27.44,246.92,351.89,522.68,551.86,378.19,402.1,368.02,304.03,207.47,99.85,41.26,20231224
41590,화성시,13,내국인,8089.15,7616.45,7899.2,11863.39,13075.33,11645.84,15554.17,15934.63,16900.63,15713.33,14382.05,9374.29,4487.53,7679.29,7146.99,6725.68,7282.51,9218.17,10567.81,14020.67,12391.8,12028.48,10610.31,9562.18,6773.96,3949.15,20231212
