route_id,seq,station_id,updown,acc_m
208000016,46,208000105,F,15400.0
208000016,47,208000104,F,15780.0
208000016,48,208000072,F,16290.0
208000016,49,208000071,F,16570.0
208000016,50,208000070,F,16990.0
208000016,51,208000118,F,17260.0
208000016,52,208000117,F,17700.0
208000016,53,208000116,F,18630.0
208000016,54,208000037,F,19070.0
208000016,55,117000013,F,19810.0
208000016,56,117000011,F,20690.0
208000016,57,117000009,F,21200.0
208000016,58,117000007,F,21990.0
208000016,59,117000005,F,22540.0
208000016,60,117000003,F,23100.0
208000016,61,117000001,F,23810.0
208000016,62,120000001,F,24870.0
208000016,63,119000001,F,25180.0
208000016,64,119000002,F,25690.0
208000016,65,118000162,F,26270.0
208000016,66,118000224,F,26860.0
208000016,67,118000157,F,27170.0
208000024,116,226000137,B,50500.0
208000024,117,226000158,B,50860.0
208000024,118,226000160,B,51200.0
208000024,119,226000079,B,51490.0
208000024,120,226000078,B,51740.0
208000024,121,226000077,B,51950.0
208000024,122,226000076,B,52110.0
208000024,123,226000184,B,52430.0
208000024,124,226000075,B,52590.0
208000024,125,226000074,B,53210.0
208000024,126,226000073,B,53610.0
208000024,127,226000072,B,53740.0
208000024,128,226000071,B,53940.0
208000024,129,226000070,B,54110.0
208000025,1,208000027,F,
208000025,2,208000245,F,260.0
208000025,3,208000008,F,420.0
208000025,4,208000007,F,790.0
208000025,5,208000006,F,970.0
208000025,6,208000154,F,1250.0
208000025,7,208000153,F,1520.0
208000025,8,208000230,F,1720.0
208000025,9,208000188,F,1920.0
208000025,10,208000187,F,2270.0
208000025,11,208000157,F,2610.0
208000025,12,208000156,F,3020.0
208000025,13,208000095,F,3400.0
208000025,14,208000287,F,3980.0
208000025,15,208000278,F,4290.0
208000025,16,208000273,F,4500.0
208000025,17,208000274,F,4840.0
208000025,18,208000148,F,5160.0
208000025,19,208000147,F,5420.0
208000025,20,208000146,F,5540.0
208000025,21,209000149,F,5840.0
208000025,22,209000148,F,6070.0
208000025,23,209000135,F,6640.0
208000025,24,209000090,F,7090.0
208000025,25,209000089,F,7540.0
208000025,26,209000088,F,7830.0
208000025,27,209000087,F,7990.0
208000025,28,209000124,F,8520.0
208000025,29,209000123,F,9000.0
208000025,30,209000122,F,9240.0
208000025,31,209000121,F,9510.0
208000025,32,209000240,F,9790.0
208000025,33,225000158,F,10120.0
208000025,34,226000045,F,10510.0
208000025,35,226000044,F,10970.0
208000025,36,226000043,F,11520.0
208000025,37,226000042,F,12280.0
208000025,38,226000089,F,12970.0
208000025,39,226000090,B,13320.0
208000025,40,226000049,B,13750.0
208000025,41,226000048,B,14020.0
208000025,42,226000192,B,14230.0
208000025,43,226000047,B,14630.0
