grid_id,period,D,S,zD,zS,mi,quadrant,priority,bin_mi,bin_demand,bin_supply,coverage,freq,pop,workers,elderly_ratio,region,mi_raw,mi_naive,nf,bin_flow,action,region_code,region_kind,d_score,s_score,flow_trips_per_day,nearest_stop_id,nearest_stop_m,lon,lat
다사3620,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,송산면,0.0,0.0003,0.0,0,DRT,31240360,면,0.0,1.1,0.0,41590-55547,2187.3,126.78368,37.28126
다사3700,am,0.211989,0.527211,-0.3872,0.5711,-0.8148,over,0.0,1,2,3,0.845,7.445,133.0,138.0,0.3308,우정읍,-0.8148,-0.9583,0.36866,2,ADD_FREQ,31240130,읍,21.2,52.72,33.2,41590-36718,93.0,126.79664,37.10106
다사3701,am,0.312613,0.702752,0.0051,1.1781,-1.173,mid,0.0,1,3,4,0.7222,28.959,310.0,376.0,0.2774,우정읍,-1.173,-1.173,0.47771,3,ADD_FREQ,31240130,읍,31.26,70.28,77.5,41590-37826,166.7,126.79655,37.11008
다사3702,am,0.356797,0.533273,0.1773,0.592,-0.4147,mid,0.0,2,3,3,0.5938,11.39,356.0,213.0,0.2725,우정읍,-0.4147,-0.4147,0.4971,3,ADD_FREQ,31240130,읍,35.68,53.33,89.0,41590-36861,243.7,126.79647,37.11909
다사3703,am,0.411327,0.556701,0.3899,0.673,-0.2831,ok,0.0,2,3,3,0.9825,7.405,413.0,415.0,0.2397,우정읍,-0.2831,-0.2831,0.52019,3,ADD_FREQ,31240130,읍,41.13,55.67,103.2,41590-36862,10.5,126.79639,37.1281
다사3704,am,0.156323,0.011,-0.6043,-1.214,0.4253,mid,0.0,4,1,0,0.05,0.0,85.0,306.0,0.0588,우정읍,0.4253,0.6097,0.31265,1,DRT,31240130,읍,15.63,1.1,21.2,41590-36862,991.5,126.7963,37.13712
다사3705,am,0.0,0.011,-1.2137,-1.214,0.0,mid,0.0,3,0,0,0.05,0.0,0.0,0.0,0.0,우정읍,0.0,0.0003,0.0,0,DRT,31240130,읍,0.0,1.1,0.0,41590-60017,864.2,126.79622,37.14613
다사3706,am,0.175804,0.527345,-0.5283,0.5715,-0.828,over,0.0,1,1,3,0.7353,8.828,98.0,325.0,0.3469,남양읍,-0.828,-1.0998,0.33529,1,ADD_FREQ,31240150,읍,17.58,52.73,24.5,41590-60017,158.8,126.79614,37.15514
다사3707,am,0.121793,0.142844,-0.7389,-0.7581,0.0114,mid,0.0,3,1,1,0.05,1.28,43.0,126.0,0.2326,남양읍,0.0114,0.0192,0.24359,1,DRT,31240150,읍,12.18,14.28,10.8,41590-37948,617.2,126.79605,37.16416
다사3708,am,0.254432,0.574035,-0.2218,0.733,-0.914,mid,0.0,1,2,3,0.5795,15.304,259.0,476.0,0.1892,남양읍,-0.914,-0.9547,0.4522,3,ADD_FREQ,31240150,읍,25.44,57.4,64.8,41590-60094,252.3,126.79597,37.17317
